case,status,method,sw1_w,sw1_p,sw2_w,sw2_p,welch_t,welch_df,welch_p,m_hat,mood_a,mood_b,mood_p,total_cycles,user_cycles,segments,wall_ms,asserts,max_rel_err,pass,error
n01,ok,welch,9.701577808613132e-1,5.435015144327315e-1,9.612913762898013e-1,4.407916770448990e-1,1.189331069066069e0,4.801010158831609e1,2.401583561577250e-1,,,,,1441792,824544,6,816780,10,8.399872275147478e-14,1,
n02,ok,welch,8.571024142853598e-1,1.123314359499077e-1,9.144626023363969e-1,3.865617200806556e-1,-3.044380481844809e-1,1.358077773896894e1,7.654091849726520e-1,,,,,917504,413169,6,514569,10,1.450383207418289e-14,1,
n16,ok,welch,9.928769181173612e-1,8.386190439986847e-1,9.096217653479722e-1,4.168189969068182e-1,-1.152847402337255e0,2.560521769532663e0,3.451723903109801e-1,,,,,655360,231895,6,368190,10,5.560256157780501e-15,1,
