case,status,method,sw1_w,sw1_p,sw2_w,sw2_p,welch_t,welch_df,welch_p,welch_mean1,welch_mean2,welch_sd1,welch_sd2,m_hat,median1,median2,mood_a,mood_b,mood_p,total_cycles,user_cycles,segments,wall_ms,asserts,max_rel_err,pass,error
n01,ok,welch,9.701577808613132e-1,5.435015144327315e-1,9.612913762898013e-1,4.407916770448990e-1,1.189331069066069e0,4.801010158831609e1,2.401583561577250e-1,1.030438164179483e2,9.804154715652450e1,1.432547110014433e1,1.646920908754581e1,,1.035039365048065e2,9.600820159019240e1,,,,1441792,824544,6,1185715,14,8.399872275147478e-14,1,
n02,ok,welch,8.571024142853598e-1,1.123314359499077e-1,9.144626023363969e-1,3.865617200806556e-1,-3.044380481844809e-1,1.358077773896894e1,7.654091849726520e-1,1.999735250386536e-1,3.763587085849915e-1,1.052051712815623e0,1.256436478577543e0,,-2.007935662128310e-1,4.739197143135855e-1,,,,917504,413169,6,703959,14,1.450383207418289e-14,1,
n16,ok,welch,9.928769181173612e-1,8.386190439986847e-1,9.096217653479722e-1,4.168189969068182e-1,-1.152847402337255e0,2.560521769532663e0,3.451723903109801e-1,3.198044151482870e-2,2.982663580946714e0,1.568016768526757e0,4.146570556141779e0,,-1.208303549960640e-1,1.543234227134500e0,,,,655360,231895,6,388147,14,5.560256157780501e-15,1,
