case,status,method,sw1_w,sw1_p,sw2_w,sw2_p,welch_t,welch_df,welch_p,welch_mean1,welch_mean2,welch_sd1,welch_sd2,m_hat,median1,median2,mood_a,mood_b,mood_p,total_cycles,user_cycles,segments,wall_ms,asserts,max_rel_err,pass,error
n01,ok,welch,9.701577808613132e-1,5.435015144327315e-1,9.612913762898013e-1,4.407916770448990e-1,1.189331069066069e0,4.801010158831609e1,2.401583561577250e-1,1.030438164179483e2,9.804154715652450e1,1.432547110014433e1,1.646920908754581e1,,1.035039365048065e2,9.600820159019240e1,,,,1441792,824544,6,793,14,8.399872275147478e-14,1,
n02,ok,welch,8.571024142853598e-1,1.123314359499077e-1,9.144626023363969e-1,3.865617200806556e-1,-3.044380481844809e-1,1.358077773896894e1,7.654091849726520e-1,1.999735250386536e-1,3.763587085849915e-1,1.052051712815623e0,1.256436478577543e0,,-2.007935662128310e-1,4.739197143135855e-1,,,,917504,413169,6,490,14,1.450383207418289e-14,1,
n03,ok,welch,9.833196079763835e-1,5.835994089524853e-1,9.670760520345349e-1,1.048240047492656e-1,-2.531728404869940e0,6.243489099328722e1,1.388045644388845e-2,4.905340105149312e1,5.780907724802317e1,4.507253236597327e0,2.640658557460939e1,,4.844079617923180e1,5.961153279754545e1,,,,2490368,1611492,6,629,14,5.295652590648585e-14,1,
n04,ok,welch,9.934628832478010e-1,5.229966484415527e-1,9.549457128446310e-1,2.288851919705933e-1,-1.049070784462019e0,4.306445171956126e1,2.999975475033111e-1,9.383834154212185e-1,1.114482366333011e0,1.013703175212240e0,8.313776450268218e-1,,8.545954506714410e-1,1.236891544228050e0,,,,3407872,2791522,8,716,14,2.594075010107660e-13,1,
n05,ok,welch,8.884294885192870e-1,3.495646528778111e-1,8.642069356295018e-1,2.755571205819337e-1,-1.406725187441335e0,3.538566810853541e0,2.409736556702814e-1,-4.153914248622281e-1,1.258892724232743e0,1.742942583645110e0,1.271156120600220e0,,2.568529255368380e-1,1.528356975452909e0,,,,786432,297221,6,454,14,1.208703686132870e-14,1,
n06,ok,mood,9.648786812885071e-1,2.449799703030292e-1,9.305158444149624e-1,1.674293587081768e-2,,,,,,,,1.497537381469454e0,9.994853956773635e-1,1.995589367261545e0,4,28,4.875302715078166e-8,4849664,3403425,8,645,13,6.112947327297321e-14,1,
n07,ok,mood,8.678031477272323e-1,2.509241304975318e-4,8.926993499015833e-1,1.180293911338617e-3,,,,,,,,1.107332793151373e0,1.185013510908575e0,1.029652075394170e0,25,19,2.610652836038531e-1,5373952,3747883,8,713,13,6.910579568877526e-14,1,
n08,ok,mood,8.542242953320007e-1,2.017213925464043e-5,8.242468719066014e-1,3.329212866418467e-6,,,,,,,,1.999793828621907e0,1.472322556418715e0,2.527265100825100e0,17,27,6.926404391768348e-2,5636096,4523528,9,789,13,4.803683334854836e-14,1,
n09,ok,mood,9.264009184976002e-1,2.189565606846102e-2,9.233491938348931e-1,1.782528928257152e-2,,,,,,,,7.868062949273720e-1,5.534634017385540e-1,1.020149188116190e0,11,23,8.059826140812080e-3,4325376,3453900,8,645,13,7.059572876383455e-14,1,
n10,ok,mood,9.415257512629547e-1,2.447539654108416e-2,9.302121957561075e-1,9.542267999893630e-3,,,,,,,,4.932661755944320e-1,9.943866622967400e-2,8.870936849591901e-1,16,31,2.917801531165909e-3,5636096,4308149,9,734,13,9.215230573581497e-14,1,
n11,ok,mood,8.667742269887674e-1,2.360701349085331e-4,8.399562699364695e-1,5.179164142664532e-5,,,,,,,,7.100260314110610e-1,2.816132369278935e-1,1.138438825894229e0,20,20,1.000000000000000e0,5373952,3957670,8,653,13,5.063465125007650e-14,1,
n12,ok,mood,7.990303442872118e-1,8.328496472358491e-7,8.787668116007351e-1,1.026753059003012e-4,,,,,,,,3.000000000000000e0,3.000000000000000e0,3.000000000000000e0,21,19,8.384166439202900e-1,5373952,4261004,8,716,13,8.342397668101876e-15,1,
n13,ok,welch,9.984313023793716e-1,5.105656714935415e-1,9.989293653205857e-1,8.345902373154276e-1,-7.303618798741312e0,1.997841889227571e3,4.026913652076421e-13,9.956021954535226e0,1.061290265853573e1,2.002133347000373e0,2.020024481398608e0,,9.923691105925320e0,1.062966050667825e1,,,,24772608,23137690,28,2310,14,1.815041940157838e-12,1,
n14,ok,welch,9.893575974551304e-1,9.967281548074886e-1,9.194196229244879e-1,2.811428634902406e-1,-1.727727627307807e0,1.929042256395763e1,1.000134719998147e-1,3.083637703600155e-1,9.443950804075562e-1,6.987351790280801e-1,1.045770489581026e0,,2.863125715349180e-1,7.065027684412095e-1,,,,917504,551780,6,525,14,1.184689176359281e-14,1,
n15,expected_error,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.000000000000000e0,1,all 'x' values are identical
