case,status,method,sw1_w,sw1_p,sw2_w,sw2_p,welch_t,welch_df,welch_p,m_hat,mood_a,mood_b,mood_p,total_cycles,user_cycles,segments,wall_ms,asserts,max_rel_err,pass,error
n05,ok,welch,8.884294885192870e-1,3.495646528778111e-1,8.642069356295018e-1,2.755571205819337e-1,-1.406725187441335e0,3.538566810853541e0,2.409736556702814e-1,,,,,688128,232520,6,372744,10,1.208703686132870e-14,1,
n20,ok,welch,9.719995616423838e-1,5.563362191575335e-1,9.760520252670237e-1,6.794777351922068e-1,-4.772312050911388e0,6.049765900234750e1,1.192604982325489e-5,,,,,1212416,890431,6,671951,10,3.055460022485985e-14,1,
