"case","status","method","sw1_w","sw1_p","sw2_w","sw2_p","welch_t","welch_df","welch_p","m_hat","mood_a","mood_b","mood_p","total_cycles","user_cycles","segments","wall_ms","asserts","max_rel_err","pass","error","run"
"n01","ok","welch",0.970157780861313,0.543501514432732,0.961291376289801,0.440791677044899,1.18933106906607,48.0101015883161,0.240158356157725,NA,NA,NA,NA,1441792,824544,6,816780,10,8.39987227514748e-14,1,NA,17
"n02","ok","welch",0.85710241428536,0.112331435949908,0.914462602336397,0.386561720080656,-0.304438048184481,13.5807777389689,0.765409184972652,NA,NA,NA,NA,917504,413169,6,514569,10,1.45038320741829e-14,1,NA,17
"n16","ok","welch",0.992876918117361,0.838619043998685,0.909621765347972,0.416818996906818,-1.15284740233726,2.56052176953266,0.34517239031098,NA,NA,NA,NA,655360,231895,6,368190,10,5.5602561577805e-15,1,NA,17
